,RMSE,MAE
Linear Regression,0.7029600500484325,0.5192385290786081
Random Forest,0.6646501715334524,0.48095234145813714
kNN,0.675351000407246,0.4992765188217163
XGBoost,0.6879334600521811,0.5040551424026489
GNN,0.6518650468558371,0.47755852341651917
